Image,Bead,X_measured_FWHM,Y_measured_FWHM,Z_measured_FWHM,X_theoretical_FWHM,Y_theoretical_FWHM,Z_theoretical_FWHM,X_ratio,Y_ratio,Z_ratio,X_fit,Y_fit,Z_fit,Lateral_Asymmetry,X_coordinate,Y_coordinate,X_validity,Y_validity,Z_validity
GreenBeads63x.lif-Series005,bead154,,,,,,,,,,0.9973505869317436,0.9948601744351766,0.9837249060790724,,1601,1736,valid,valid,valid
GreenBeads63x.lif-Series005,bead155,,,,,,,,,,0.9984098284054111,0.992787612607286,0.9819134787199574,,2014,1069,valid,valid,valid
GreenBeads63x.lif-Series005,bead156,,,,,,,,,,0.9979100711610117,0.9942756370722658,0.9886942237338269,,1383,1695,valid,valid,valid
GreenBeads63x.lif-Series005,bead157,,,,,,,,,,0.9981689768627048,0.9947112632091283,0.984986568015588,,1866,1606,valid,valid,valid
GreenBeads63x.lif-Series005,bead158,,,,,,,,,,0.9980293983299402,0.9923071886527677,0.9838197140975437,,1882,1824,valid,valid,valid
GreenBeads63x.lif-Series005,bead159,,,,,,,,,,0.9966435147583764,0.9960455574967483,0.9881935431266775,,1834,469,valid,valid,valid
GreenBeads63x.lif-Series005,bead160,,,,,,,,,,0.9949248690918888,0.9939652406090987,0.9830226625715813,,1124,1070,valid,valid,valid
GreenBeads63x.lif-Series005,bead161,,,,,,,,,,0.9983475109759254,0.996217114264727,0.9853174792694207,,245,248,valid,valid,valid
GreenBeads63x.lif-Series005,bead162,,,,,,,,,,0.9964284856570929,0.9901732327816916,0.9759393109368062,,1044,1290,valid,valid,valid
GreenBeads63x.lif-Series005,bead163,,,,,,,,,,0.9978257955888529,0.9935596303644334,0.9836662492473366,,307,469,valid,valid,valid
GreenBeads63x.lif-Series005,bead164,,,,,,,,,,0.9970085693408856,0.9928906088087212,0.9774105051507044,,764,1092,valid,valid,valid
GreenBeads63x.lif-Series005,bead165,,,,,,,,,,0.9964432325537423,0.9932879793838252,0.9745537087365569,,1141,1138,valid,valid,valid
GreenBeads63x.lif-Series005,bead166,,,,,,,,,,0.997256353224591,0.9951041213152072,0.9857779911773072,,658,71,outlier (above upper fence of 0.297µm),valid,valid
GreenBeads63x.lif-Series005,bead167,,,,,,,,,,0.9972848627525498,0.996999312009273,0.9847454759389163,,858,1633,valid,valid,valid
GreenBeads63x.lif-Series005,bead168,,,,,,,,,,0.9973193809653882,0.9941699393263659,0.986700776533749,,998,1433,valid,valid,valid
GreenBeads63x.lif-Series005,bead169,,,,,,,,,,0.997837479732045,0.9925886380950314,0.9833784417578331,,168,958,valid,valid,valid
